Usage Days (bin),Acquired Medium google / others,C Ity,Reg at date,Uninstall Date,User ID,User ID (bin),Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Usage Time,Usertime,Video Count
0,Normal,,1/7/2019,1/7/2019,567,567,,,1,0,4,,0,35522.331,0
0,Normal,Mumbai,3/14/2019,4/8/2019,1789,1782,23,,26,10,3,,25,1943.991,11
0,Normal,,12/22/2018,1/17/2019,1805,1782,20,2,27,65,63,7,26,22990.347,11
0,Normal,,12/3/2018,12/12/2018,1903,1863,13,5,18,17,14,1,9,1542.896,0
0,Normal,,1/6/2019,1/25/2019,1988,1944,13,,14,53,13,2,19,6656.242,15
0,Normal,,11/22/2018,11/22/2018,1999,1944,11,1,15,38,94,13,0,11380.729,33
0,Normal,,11/22/2018,12/2/2018,2026,2025,,,,18,28,4,10,7229.752,16
0,Normal,Mumbai,1/23/2019,2/16/2019,2039,2025,13,2,17,64,32,1,24,8524.003,23
0,Normal,Mumbai,1/27/2019,2/24/2019,2057,2025,15,,14,71,25,1,28,8679.351,30
0,Normal,Mumbai,6/18/2019,6/21/2019,2068,2025,,,,0,3,,3,1261.27,1
0,Normal,,11/22/2018,11/26/2018,2084,2025,,,1,0,32,,4,6120.974,15
0,Normal,Pune,6/22/2019,6/22/2019,2099,2025,2,1,3,0,4,2,0,1085.856,1
0,Normal,Mumbai,6/19/2019,6/21/2019,2104,2025,,,,0,2,,2,668.275,0
0,Normal,Mumbai,6/25/2019,6/27/2019,2113,2106,,,2,17,20,,2,5708.751,27
0,Normal,,1/21/2019,1/31/2019,2119,2106,38,,38,31,8,,10,2301.988,4
0,Normal,,11/28/2018,12/2/2018,2169,2106,,,,0,2,,4,706.462,1
0,Normal,Mumbai,1/7/2019,1/16/2019,2225,2187,70,3,73,49,19,,9,6732.43,17
0,Normal,,1/19/2019,2/5/2019,2264,2187,,,2,63,14,10,17,6719.139,21
0,Normal,,1/19/2019,1/25/2019,2265,2187,,,,56,,,6,3512.784,17
0,Normal,,12/30/2018,1/21/2019,2279,2268,7,2,11,49,21,6,22,5670.57,17
0,Normal,Mumbai,1/27/2019,2/8/2019,2293,2268,9,1,12,55,15,,12,4064.09,5
0,Normal,,12/29/2018,1/12/2019,2304,2268,2,,2,40,19,8,14,9340.199,11
0,Normal,,1/11/2019,1/19/2019,2310,2268,,,,49,18,5,8,5359.732,16
0,Normal,,1/8/2019,2/4/2019,2316,2268,8,1,13,26,7,1,27,2576.139,13
0,Normal,Mumbai,12/7/2018,12/17/2018,2323,2268,21,2,30,70,73,10,10,13264.99,25
0,Normal,,1/30/2019,2/2/2019,2337,2268,17,2,20,60,9,4,3,4005.066,0
0,Normal,,1/15/2019,2/2/2019,2362,2349,,,1,16,6,,18,2413.377,17
0,Normal,,11/27/2018,12/25/2018,2396,2349,39,,45,27,57,10,28,10915.543,12
0,Normal,,1/27/2019,1/29/2019,2405,2349,21,1,56,48,18,,2,3558.749,4
0,Normal,,1/12/2019,1/22/2019,2455,2430,3,,12,17,3,,10,1476.885,6
0,Normal,,11/27/2018,11/29/2018,2468,2430,18,1,19,5,10,,2,2503.627,10
0,Normal,,1/30/2019,1/30/2019,2478,2430,,,1,24,1,4,0,2498.73,1
0,Normal,,1/10/2019,1/19/2019,2501,2430,,,,42,1,,9,1962.502,15
0,Normal,,11/28/2018,11/28/2018,2508,2430,,,,2,10,,0,3449.197,13
0,Normal,,1/13/2019,1/21/2019,2527,2511,70,4,74,2,12,,8,2932.619,12
0,Normal,,12/30/2018,12/30/2018,2539,2511,,,,4,,,0,179.006,0
0,Normal,Mumbai,1/31/2019,2/14/2019,2567,2511,,,,60,14,,14,4253.972,5
0,Normal,,11/30/2018,12/20/2018,2576,2511,,,,10,12,,20,2985.064,8
0,Normal,,12/7/2018,12/12/2018,2596,2592,,,,18,15,5,5,4322.63,5
0,Normal,Mumbai,3/4/2019,3/17/2019,2610,2592,1,,3,26,7,,13,3436.455,2
0,Normal,,11/24/2018,12/12/2018,2613,2592,29,1,34,17,67,21,18,17035.357,15
0,Normal,,1/21/2019,2/7/2019,2624,2592,78,5,88,63,41,6,17,10989.122,33
0,Normal,,11/30/2018,12/16/2018,2625,2592,6,,6,12,33,1,16,10816.886,19
0,Normal,,1/27/2019,1/27/2019,2635,2592,,,,15,1,,0,1110.818,2
0,Normal,Mumbai,3/30/2019,4/2/2019,2638,2592,16,1,18,5,11,1,3,2554.063,12
0,Normal,,11/24/2018,12/1/2018,2642,2592,7,1,10,17,23,5,7,8636.497,14
0,Normal,,12/6/2018,12/8/2018,2652,2592,1,,1,0,,,2,318.894,0
0,Normal,,11/23/2018,11/23/2018,2671,2592,45,4,70,9,36,8,0,10671.478,11
0,Normal,,1/9/2019,2/6/2019,2677,2673,11,3,15,64,70,6,28,15642.103,20
0,Normal,,12/1/2018,12/14/2018,2702,2673,21,1,23,26,41,6,13,9810.028,26
0,Normal,Mumbai,12/29/2018,1/14/2019,2703,2673,268,26,420,97,76,4,16,17888.737,100
0,Normal,,11/22/2018,11/25/2018,2705,2673,12,,16,52,19,5,3,4078.965,14
0,Normal,,1/27/2019,2/19/2019,2711,2673,,,,36,15,,23,3352.126,9
0,Normal,,1/31/2019,2/12/2019,2718,2673,16,,16,20,4,,12,1923.68,1
0,Normal,,1/9/2019,1/21/2019,2724,2673,,,,42,24,3,12,9497.347,26
0,Normal,,11/29/2018,12/14/2018,2749,2673,2,,3,7,23,3,15,9835.323,13
0,Normal,Mumbai,1/28/2019,2/13/2019,2771,2754,7,,7,61,1,,16,1661.517,3
0,Normal,,1/6/2019,1/15/2019,2780,2754,,,1,41,10,,9,6188.87,24
0,Normal,,11/25/2018,12/14/2018,2781,2754,,,,44,53,15,19,7680.004,17
0,Normal,Mumbai,11/24/2018,11/29/2018,2790,2754,12,9,21,70,61,5,5,8305.309,24
0,Normal,,1/15/2019,1/20/2019,2795,2754,,,2,50,29,13,5,8564.822,23
0,Normal,,1/22/2019,2/1/2019,2812,2754,15,,23,61,3,,10,3772.435,15
0,Normal,,12/19/2018,12/20/2018,2822,2754,,,,7,8,,1,1732.01,5
0,Normal,,11/29/2018,12/3/2018,2827,2754,52,2,72,62,5,,4,2956.947,1
0,Normal,,12/31/2018,1/28/2019,2842,2835,,,2,73,43,12,28,11677.823,26
0,Normal,,1/5/2019,1/5/2019,2845,2835,14,1,15,23,7,3,0,1509.636,0
0,Normal,,11/26/2018,12/21/2018,2855,2835,35,7,42,1,19,,25,4034.697,5
0,Normal,Mumbai,2/4/2019,2/14/2019,2894,2835,4,1,5,37,11,5,10,5194.71,15
0,Normal,,11/26/2018,12/3/2018,2913,2835,,,,18,15,8,7,3676.895,1
0,Normal,,11/26/2018,11/27/2018,2936,2916,2,,2,4,1,,1,409.368,0
0,Normal,,1/5/2019,1/5/2019,2952,2916,71,5,77,63,81,16,0,30562.755,28
0,Normal,,1/29/2019,2/2/2019,2967,2916,14,1,16,13,5,,4,2472.227,5
0,Normal,,11/22/2018,12/14/2018,2991,2916,17,2,22,14,31,5,22,7780.313,25
0,Normal,,11/28/2018,12/6/2018,2993,2916,2,,2,14,13,3,8,5053.568,15
0,Normal,,11/27/2018,12/2/2018,2994,2916,14,2,16,1,4,,5,1085.98,3
0,Normal,,11/23/2018,12/7/2018,3015,2997,,,,16,34,5,14,6560.253,16
0,Normal,,1/26/2019,1/27/2019,3017,2997,,,,50,4,1,1,2258.376,1
0,Normal,,11/30/2018,12/4/2018,3021,2997,18,1,17,2,7,,4,2173.617,6
0,Normal,,12/22/2018,12/28/2018,3025,2997,32,1,37,2,5,,6,933.725,4
0,Normal,,11/22/2018,11/23/2018,3036,2997,4,2,8,13,14,2,1,2878.939,0
0,Normal,,11/28/2018,11/29/2018,3037,2997,,,,5,8,,1,4120.747,15
0,Normal,,1/8/2019,1/21/2019,3042,2997,,,,41,12,2,13,6652.172,18
0,Normal,Mumbai,11/26/2018,12/21/2018,3064,2997,3,1,5,74,154,29,25,21000.638,37
0,Normal,,11/29/2018,11/29/2018,3065,2997,,,,11,12,3,0,6534.049,14
0,Normal,,12/8/2018,1/2/2019,3083,3078,,,,21,25,5,25,5498.16,4
0,Normal,,1/12/2019,1/30/2019,3091,3078,3,,3,54,5,,18,1783.244,0
0,Normal,,11/23/2018,12/4/2018,3092,3078,3,1,4,17,13,3,11,4117.345,16
0,Normal,Mumbai,11/23/2018,12/1/2018,3101,3078,,,1,25,31,4,8,7661.514,26
0,Normal,Mumbai,11/22/2018,12/4/2018,3106,3078,12,3,15,101,51,1,12,9921.473,47
0,Normal,Mumbai,11/21/2018,11/28/2018,3107,3078,5,,5,82,29,3,7,8721.043,36
0,Normal,,11/25/2018,12/1/2018,3109,3078,,,,18,6,1,6,1418.272,0
0,Normal,,11/23/2018,11/23/2018,3154,3078,5,1,5,11,4,,0,708.463,1
0,Normal,,12/3/2018,12/3/2018,3158,3078,11,,11,3,5,,0,1958.842,8
0,Normal,Mumbai,12/15/2018,1/12/2019,3161,3159,,,,25,6,9,28,3516.254,15
0,Normal,,11/23/2018,12/2/2018,3164,3159,7,1,9,18,23,2,9,4045.055,1
0,Normal,,1/12/2019,1/12/2019,3169,3159,1,,2,8,9,,0,2096.916,3
0,Normal,,1/11/2019,1/21/2019,3170,3159,3,,5,57,15,19,10,4747.013,17
0,Normal,,1/8/2019,1/19/2019,3185,3159,,,,1,1,,11,975.359,6
0,Normal,,11/23/2018,11/26/2018,3189,3159,,,,8,4,,3,3272.792,3
0,Normal,,1/12/2019,1/12/2019,3191,3159,2,,2,13,19,11,0,6452.141,6
0,Normal,,12/1/2018,12/1/2018,3192,3159,,,,20,12,1,0,3641.217,4
0,Normal,,12/19/2018,1/10/2019,3193,3159,,,,3,,,22,457.952,1
0,Normal,,12/29/2018,1/14/2019,3195,3159,21,,21,34,14,5,16,4718.208,11
0,Normal,,11/23/2018,12/1/2018,3206,3159,6,2,9,15,22,3,8,4660.504,15
0,Normal,,11/23/2018,11/28/2018,3209,3159,1,,8,13,4,1,5,3464.843,15
0,Normal,,1/12/2019,1/12/2019,3222,3159,1,,2,58,10,1,0,3606.51,20
0,Normal,,11/23/2018,11/30/2018,3223,3159,,,,3,5,,7,1495.92,6
0,Normal,,1/14/2019,2/6/2019,3258,3240,1,,1,69,9,1,23,8115.079,28
0,Normal,,11/22/2018,11/24/2018,3230,3159,4,,5,10,13,5,2,4375.248,10
0,Normal,,11/22/2018,12/3/2018,3256,3240,,,,60,47,10,11,16118.086,38
0,Normal,,11/22/2018,11/25/2018,3249,3240,8,3,18,26,77,14,3,29653.305,8
0,Normal,Mumbai,11/24/2018,12/20/2018,3236,3159,10,,15,36,21,1,26,3428.576,11
